X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
181922.790326637,5027761.41821422,23,23,181672.790326637,5028011.41821422,182172.790326637,5027511.41821422,22,0,256.576904296875
181922.790326637,5027261.41821422,24,24,181672.790326637,5027511.41821422,182172.790326637,5027011.41821422,23,0,243.316741943359
181922.790326637,5026761.41821422,25,25,181672.790326637,5027011.41821422,182172.790326637,5026511.41821422,24,0,237.264877319336
181922.790326637,5026261.41821422,26,26,181672.790326637,5026511.41821422,182172.790326637,5026011.41821422,25,0,231.618545532227
181922.790326637,5025761.41821422,27,27,181672.790326637,5026011.41821422,182172.790326637,5025511.41821422,26,0,237.480484008789
181922.790326637,5025261.41821422,28,28,181672.790326637,5025511.41821422,182172.790326637,5025011.41821422,27,0,252.23974609375
181922.790326637,5024761.41821422,29,29,181672.790326637,5025011.41821422,182172.790326637,5024511.41821422,28,0,269.987182617188
181922.790326637,5024261.41821422,30,30,181672.790326637,5024511.41821422,182172.790326637,5024011.41821422,29,0,258.338592529297
181922.790326637,5023761.41821422,31,31,181672.790326637,5024011.41821422,182172.790326637,5023511.41821422,30,0,279.683959960938
181922.790326637,5023261.41821422,32,32,181672.790326637,5023511.41821422,182172.790326637,5023011.41821422,31,0,283.824035644531
181922.790326637,5022761.41821422,33,33,181672.790326637,5023011.41821422,182172.790326637,5022511.41821422,32,0,270.917175292969
182422.790326637,5038761.41821422,34,34,182172.790326637,5039011.41821422,182672.790326637,5038511.41821422,0,1,252.30110168457
182422.790326637,5038261.41821422,35,35,182172.790326637,5038511.41821422,182672.790326637,5038011.41821422,1,1,253.608459472656
182422.790326637,5037761.41821422,36,36,182172.790326637,5038011.41821422,182672.790326637,5037511.41821422,2,1,247.142791748047
182422.790326637,5037261.41821422,37,37,182172.790326637,5037511.41821422,182672.790326637,5037011.41821422,3,1,246.417236328125
182422.790326637,5036761.41821422,38,38,182172.790326637,5037011.41821422,182672.790326637,5036511.41821422,4,1,248.576568603516
182422.790326637,5036261.41821422,39,39,182172.790326637,5036511.41821422,182672.790326637,5036011.41821422,5,1,247.607330322266
182422.790326637,5035761.41821422,40,40,182172.790326637,5036011.41821422,182672.790326637,5035511.41821422,6,1,245.520309448242
182422.790326637,5035261.41821422,41,41,182172.790326637,5035511.41821422,182672.790326637,5035011.41821422,7,1,258.573333740234
182422.790326637,5034761.41821422,42,42,182172.790326637,5035011.41821422,182672.790326637,5034511.41821422,8,1,256.747497558594
182422.790326637,5034261.41821422,43,43,182172.790326637,5034511.41821422,182672.790326637,5034011.41821422,9,1,248.715240478516
182422.790326637,5033761.41821422,44,44,182172.790326637,5034011.41821422,182672.790326637,5033511.41821422,10,1,244.629577636719
182422.790326637,5033261.41821422,45,45,182172.790326637,5033511.41821422,182672.790326637,5033011.41821422,11,1,244.386795043945
182422.790326637,5032761.41821422,46,46,182172.790326637,5033011.41821422,182672.790326637,5032511.41821422,12,1,247.795471191406
182422.790326637,5032261.41821422,47,47,182172.790326637,5032511.41821422,182672.790326637,5032011.41821422,13,1,264.005218505859
182422.790326637,5031761.41821422,48,48,182172.790326637,5032011.41821422,182672.790326637,5031511.41821422,14,1,280.140838623047
182422.790326637,5031261.41821422,49,49,182172.790326637,5031511.41821422,182672.790326637,5031011.41821422,15,1,294.576477050781
182422.790326637,5030761.41821422,50,50,182172.790326637,5031011.41821422,182672.790326637,5030511.41821422,16,1,298.934326171875
182422.790326637,5030261.41821422,51,51,182172.790326637,5030511.41821422,182672.790326637,5030011.41821422,17,1,306.590393066406
182422.790326637,5029761.41821422,52,52,182172.790326637,5030011.41821422,182672.790326637,5029511.41821422,18,1,300.569793701172
182422.790326637,5029261.41821422,53,53,182172.790326637,5029511.41821422,182672.790326637,5029011.41821422,19,1,289.132141113281
182422.790326637,5028761.41821422,54,54,182172.790326637,5029011.41821422,182672.790326637,5028511.41821422,20,1,276.654479980469
182422.790326637,5028261.41821422,55,55,182172.790326637,5028511.41821422,182672.790326637,5028011.41821422,21,1,268.165313720703
182422.790326637,5027761.41821422,56,56,182172.790326637,5028011.41821422,182672.790326637,5027511.41821422,22,1,257.049346923828
182422.790326637,5027261.41821422,57,57,182172.790326637,5027511.41821422,182672.790326637,5027011.41821422,23,1,247.171936035156
182422.790326637,5026761.41821422,58,58,182172.790326637,5027011.41821422,182672.790326637,5026511.41821422,24,1,239.585159301758
182422.790326637,5026261.41821422,59,59,182172.790326637,5026511.41821422,182672.790326637,5026011.41821422,25,1,227.209976196289
182422.790326637,5025761.41821422,60,60,182172.790326637,5026011.41821422,182672.790326637,5025511.41821422,26,1,222.845016479492
182422.790326637,5025261.41821422,61,61,182172.790326637,5025511.41821422,182672.790326637,5025011.41821422,27,1,238.3876953125
182422.790326637,5024761.41821422,62,62,182172.790326637,5025011.41821422,182672.790326637,5024511.41821422,28,1,252.938919067383
182422.790326637,5024261.41821422,63,63,182172.790326637,5024511.41821422,182672.790326637,5024011.41821422,29,1,254.374282836914
182422.790326637,5023761.41821422,64,64,182172.790326637,5024011.41821422,182672.790326637,5023511.41821422,30,1,267.548431396484
182422.790326637,5023261.41821422,65,65,182172.790326637,5023511.41821422,182672.790326637,5023011.41821422,31,1,272.999237060547
182422.790326637,5022761.41821422,66,66,182172.790326637,5023011.41821422,182672.790326637,5022511.41821422,32,1,260.677124023438
182922.790326637,5038761.41821422,67,67,182672.790326637,5039011.41821422,183172.790326637,5038511.41821422,0,2,251.904678344727
182922.790326637,5038261.41821422,68,68,182672.790326637,5038511.41821422,183172.790326637,5038011.41821422,1,2,253.884155273438
182922.790326637,5037761.41821422,69,69,182672.790326637,5038011.41821422,183172.790326637,5037511.41821422,2,2,252.343231201172
182922.790326637,5037261.41821422,70,70,182672.790326637,5037511.41821422,183172.790326637,5037011.41821422,3,2,246.336791992188
182922.790326637,5036761.41821422,71,71,182672.790326637,5037011.41821422,183172.790326637,5036511.41821422,4,2,245.58561706543
182922.790326637,5036261.41821422,72,72,182672.790326637,5036511.41821422,183172.790326637,5036011.41821422,5,2,245.631454467773
182922.790326637,5035761.41821422,73,73,182672.790326637,5036011.41821422,183172.790326637,5035511.41821422,6,2,245.51904296875
182922.790326637,5035261.41821422,74,74,182672.790326637,5035511.41821422,183172.790326637,5035011.41821422,7,2,260.691436767578
182922.790326637,5034761.41821422,75,75,182672.790326637,5035011.41821422,183172.790326637,5034511.41821422,8,2,257.940704345703
182922.790326637,5034261.41821422,76,76,182672.790326637,5034511.41821422,183172.790326637,5034011.41821422,9,2,247.825698852539
182922.790326637,5033761.41821422,77,77,182672.790326637,5034011.41821422,183172.790326637,5033511.41821422,10,2,251.092178344727
182922.790326637,5033261.41821422,78,78,182672.790326637,5033511.41821422,183172.790326637,5033011.41821422,11,2,243.140991210938
182922.790326637,5032761.41821422,79,79,182672.790326637,5033011.41821422,183172.790326637,5032511.41821422,12,2,251.049957275391
182922.790326637,5032261.41821422,80,80,182672.790326637,5032511.41821422,183172.790326637,5032011.41821422,13,2,248.708038330078
182922.790326637,5031761.41821422,81,81,182672.790326637,5032011.41821422,183172.790326637,5031511.41821422,14,2,288.095947265625
182922.790326637,5031261.41821422,82,82,182672.790326637,5031511.41821422,183172.790326637,5031011.41821422,15,2,306.644378662109
182922.790326637,5030761.41821422,83,83,182672.790326637,5031011.41821422,183172.790326637,5030511.41821422,16,2,307.491882324219
182922.790326637,5030261.41821422,84,84,182672.790326637,5030511.41821422,183172.790326637,5030011.41821422,17,2,301.027496337891
182922.790326637,5029761.41821422,85,85,182672.790326637,5030011.41821422,183172.790326637,5029511.41821422,18,2,296.171630859375
182922.790326637,5029261.41821422,86,86,182672.790326637,5029511.41821422,183172.790326637,5029011.41821422,19,2,293.278747558594
182922.790326637,5028761.41821422,87,87,182672.790326637,5029011.41821422,183172.790326637,5028511.41821422,20,2,298.320220947266
182922.790326637,5028261.41821422,88,88,182672.790326637,5028511.41821422,183172.790326637,5028011.41821422,21,2,283.82470703125
182922.790326637,5027761.41821422,89,89,182672.790326637,5028011.41821422,183172.790326637,5027511.41821422,22,2,273.5810546875
182922.790326637,5027261.41821422,90,90,182672.790326637,5027511.41821422,183172.790326637,5027011.41821422,23,2,262.630615234375
182922.790326637,5026761.41821422,91,91,182672.790326637,5027011.41821422,183172.790326637,5026511.41821422,24,2,254.667236328125
182922.790326637,5026261.41821422,92,92,182672.790326637,5026511.41821422,183172.790326637,5026011.41821422,25,2,237.882125854492
